Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue GBR,Price Clean GBR,Month,Price num
489437,21364,PEACE SMALL WOOD LETTERS,2,01-Dec-09,01/06/1975,15362,United Kingdom,550.92,275.46,1.12.09,27546
489437,21360,JOY LARGE WOOD LETTERS,1,01-Dec-09,01/09/1995,15362,United Kingdom,349.43,349.43,1.12.09,34943
489437,21351,CINAMMON & ORANGE WREATH,2,01-Dec-09,01/06/1975,15362,United Kingdom,550.92,275.46,1.12.09,27546
489437,21352,EUCALYPTUS & PINECONE  WREATH,2,01-Dec-09,01/06/1975,15362,United Kingdom,550.92,275.46,1.12.09,27546
489437,35400,WOODEN BOX ADVENT CALENDAR ,2,01-Dec-09,01/08/1995,15362,United Kingdom,698.24,349.12,1.12.09,34912
489437,20695,FLORAL BLUE MONSTER,3,01-Dec-09,01/04/2025,15362,United Kingdom,1372.44,457.48,1.12.09,45748
489437,37370,RETRO COFFEE MUGS ASSORTED,12,01-Dec-09,01/01/2025,15362,United Kingdom,5478.96,456.58,1.12.09,45658
489437,10002,INFLATABLE POLITICAL GLOBE ,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,84507B,STRIPES DESIGN MONKEY DOLL,6,01-Dec-09,01/02/1955,15362,United Kingdom,1207.26,201.21,1.12.09,20121
489437,20703,BLUE PADDED SOFT MOBILE,3,01-Dec-09,01/04/2025,15362,United Kingdom,1372.44,457.48,1.12.09,45748
489437,21987,PACK OF 6 SKULL PAPER CUPS,12,01-Dec-09,0.65,15362,United Kingdom,7.8,0.65,1.12.09,0.65
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,01-Dec-09,0.85,15362,United Kingdom,10.2,0.85,1.12.09,0.85
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,01-Dec-09,01/01/2025,15362,United Kingdom,5478.96,456.58,1.12.09,45658
489437,22271,FELTCRAFT DOLL ROSIE,6,01-Dec-09,01/02/1995,15362,United Kingdom,2083.86,347.31,1.12.09,34731
489437,22272,FELTCRAFT DOLL MARIA,6,01-Dec-09,01/02/1995,15362,United Kingdom,2083.86,347.31,1.12.09,34731
